NumeroDocumento;DataDocumento;Oggetto;LinkDocumento;Dipartimento;DirezioneGenerale;Unita'OrganizzativaDirigenziale
77;14/02/2018;Realizzazione di interventi a valere sulla quota del Fondo di Sviluppo e Coesione 2014-2020. Istituzione capitolo ed iscrizione in termini di competenza e di cassa nell'ambito della Missione 10 Programma 06 del Bilancio regionale 2018-2020.;http://trasparenza.regione.campania.it/PD20180002327_006624384.pdf;50;8;5
77;14/02/2018;Realizzazione di interventi a valere sulla quota del Fondo di Sviluppo e Coesione 2014-2020. Istituzione capitolo ed iscrizione in termini di competenza e di cassa nell'ambito della Missione 10 Programma 06 del Bilancio regionale 2018-2020.;http://trasparenza.regione.campania.it/PD20180002327_006624385.pdf;50;8;5
77;14/02/2018;Realizzazione di interventi a valere sulla quota del Fondo di Sviluppo e Coesione 2014-2020. Istituzione capitolo ed iscrizione in termini di competenza e di cassa nell'ambito della Missione 10 Programma 06 del Bilancio regionale 2018-2020.;http://trasparenza.regione.campania.it/PD20180002327_006624386.pdf;50;8;5
77;14/02/2018;Realizzazione di interventi a valere sulla quota del Fondo di Sviluppo e Coesione 2014-2020. Istituzione capitolo ed iscrizione in termini di competenza e di cassa nell'ambito della Missione 10 Programma 06 del Bilancio regionale 2018-2020.;http://trasparenza.regione.campania.it/TRASP_DG20180000078ver03.pdf;50;8;5
91;20/02/2018;Approvazione schema di Protocollo di Intesa per l'Area di Castel Volturno.;http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=112923&ATTACH_ID=168567;60;9;0
97;20/02/2018;Variazione al DTA al Bilancio di Previsione Finanziario 2018-2020 ed al Bilancio Gestionale 2018-2020 con istituzione di nuovi capitoli di spesa, modifica titolarita' gestionale di capitoli di spesa, variazioni compensative in termini di competenza e cassa, aggiornamento residui e contestuale prelevamento dal fondo di riserva di cassa.;http://trasparenza.regione.campania.it/PD20180002933_006634804.pdf;50;13;91
97;20/02/2018;Variazione al DTA al Bilancio di Previsione Finanziario 2018-2020 ed al Bilancio Gestionale 2018-2020 con istituzione di nuovi capitoli di spesa, modifica titolarita' gestionale di capitoli di spesa, variazioni compensative in termini di competenza e cassa, aggiornamento residui e contestuale prelevamento dal fondo di riserva di cassa.;http://trasparenza.regione.campania.it/PD20180002933_006634805.pdf;50;13;91
97;20/02/2018;Variazione al DTA al Bilancio di Previsione Finanziario 2018-2020 ed al Bilancio Gestionale 2018-2020 con istituzione di nuovi capitoli di spesa, modifica titolarita' gestionale di capitoli di spesa, variazioni compensative in termini di competenza e cassa, aggiornamento residui e contestuale prelevamento dal fondo di riserva di cassa.;http://trasparenza.regione.campania.it/PD20180002933_006634806.pdf;50;13;91
97;20/02/2018;Variazione al DTA al Bilancio di Previsione Finanziario 2018-2020 ed al Bilancio Gestionale 2018-2020 con istituzione di nuovi capitoli di spesa, modifica titolarita' gestionale di capitoli di spesa, variazioni compensative in termini di competenza e cassa, aggiornamento residui e contestuale prelevamento dal fondo di riserva di cassa.;http://trasparenza.regione.campania.it/PD20180002933_006634807.pdf;50;13;91
97;20/02/2018;Variazione al DTA al Bilancio di Previsione Finanziario 2018-2020 ed al Bilancio Gestionale 2018-2020 con istituzione di nuovi capitoli di spesa, modifica titolarita' gestionale di capitoli di spesa, variazioni compensative in termini di competenza e cassa, aggiornamento residui e contestuale prelevamento dal fondo di riserva di cassa.;http://trasparenza.regione.campania.it/TRASP_DG20180000097ver08.pdf;50;13;91
98;20/02/2018;POR FESR 2014-2020. ISTITUZIONE NUOVO CAPITOLO DI SPESA E VARIAZIONE COMPENSATIVA TRA I CAPITOLI DI TITOLARIT� DELL'UFFICIO DI STAFF 50.10.92 DELLA DIREZIONE GENERALE RICERCA, UNIVERSIT� ED INNOVAZIONE.;http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=112920&ATTACH_ID=168560;50;10;92
99;20/02/2018;Prelievo spese obbligatorie.;;60;8;0
114;28/02/2018;Acquisizione delle risorse in bilancio in attuazione della DGR 773/2016 per la realizzazione del Piano di Implementazione e del Piano di Comunicazione della RIS3 Campania.;http://trasparenza.regione.campania.it/PD20180002638_006639016.pdf;50;10;0
114;28/02/2018;Acquisizione delle risorse in bilancio in attuazione della DGR 773/2016 per la realizzazione del Piano di Implementazione e del Piano di Comunicazione della RIS3 Campania.;http://trasparenza.regione.campania.it/TRASP_DG20180000114ver03.pdf;50;10;0
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641787.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641789.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641793.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641794.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641795.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641796.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641797.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641798.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641799.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641800.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641801.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641804.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/PD20170026484_006641805.pdf;50;7;3
115;28/02/2018;PROPOSTA AL CONSIGLIO REGIONALE DI DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO AI SENSI DELL'ART. 73, COMMA 1 LETTERA A), DEL DECRETO LEGISLATIVO 23 GIUGNO 2011 N. 118 COME MODIFICATO DAL DECRETO LEGISLATIVO DEL 10 AGOSTO 2014 N. 126. IMPORTO COMPLESSIVO EURO 5.028.000,98.;http://trasparenza.regione.campania.it/TRASP_DG20180000115ver10.pdf;50;7;3
116;28/02/2018;Variazione al Bilancio gestionale 2018-2020 ai sensi dell'art.51 del D.lgs. n. 118/2011. Istituzione capitolo di spesa.  ;http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=113139&ATTACH_ID=168880;50;9;0
117;28/02/2018;POR FESR 2014/2020 - Obiettivo Specifico 6.3 - Iscrizione risorse in bilancio regionale della somma di euro 2.190.000,00.;http://trasparenza.regione.campania.it/PD20180002711_006638830.pdf;50;6;0
117;28/02/2018;POR FESR 2014/2020 - Obiettivo Specifico 6.3 - Iscrizione risorse in bilancio regionale della somma di euro 2.190.000,00.;http://trasparenza.regione.campania.it/TRASP_DG20180000117ver03.pdf;50;6;0
118;28/02/2018;Itinerari turistici a piedi, denominati ""cammini"" - Presa d'atto del decreto del Ministro delle infrastrutture e dei trasporti (MIT) - Istituzione capitolo di entrata e iscrizione risorse nell'Esercizio Finanziario 2018, ai sensi dell'art. 51, co 2 lett. A) del D. Lgs. n. 118/2011.;http://trasparenza.regione.campania.it/PD20180002522_006639188.pdf;50;12;4
118;28/02/2018;Itinerari turistici a piedi, denominati ""cammini"" - Presa d'atto del decreto del Ministro delle infrastrutture e dei trasporti (MIT) - Istituzione capitolo di entrata e iscrizione risorse nell'Esercizio Finanziario 2018, ai sensi dell'art. 51, co 2 lett. A) del D. Lgs. n. 118/2011.;http://trasparenza.regione.campania.it/PD20180002522_006639189.pdf;50;12;4
118;28/02/2018;Itinerari turistici a piedi, denominati ""cammini"" - Presa d'atto del decreto del Ministro delle infrastrutture e dei trasporti (MIT) - Istituzione capitolo di entrata e iscrizione risorse nell'Esercizio Finanziario 2018, ai sensi dell'art. 51, co 2 lett. A) del D. Lgs. n. 118/2011.;http://trasparenza.regione.campania.it/TRASP_DG20180000118ver03.pdf;50;12;4
128;07/03/2018;ACQUISIZIONE IN BILANCIO AI SENSI dell'art. 51del D.Lgs. 118/2011 PER IL COMPLETAMENTO DEI PROGETTI DELLO STAFF RIS 3 DELLA RICERCA SCIENTIFICA.;http://trasparenza.regione.campania.it/PD20180003379_006647227.pdf;50;10;0
128;07/03/2018;ACQUISIZIONE IN BILANCIO AI SENSI dell'art. 51del D.Lgs. 118/2011 PER IL COMPLETAMENTO DEI PROGETTI DELLO STAFF RIS 3 DELLA RICERCA SCIENTIFICA.;http://trasparenza.regione.campania.it/TRASP_DG20180000128ver03.pdf;50;10;0
130;07/03/2018;Prelevamento dal fondo di riserva per le spese obbligatorie di cui all'articolo 48, comma 1 lettera a) del d.lgs. 118/2011 - con allegato.;http://trasparenza.regione.campania.it/PD20180003557_006647255.pdf;41;1;0
130;07/03/2018;Prelevamento dal fondo di riserva per le spese obbligatorie di cui all'articolo 48, comma 1 lettera a) del d.lgs. 118/2011 - con allegato.;http://trasparenza.regione.campania.it/TRASP_DG20180000130ver03.pdf;41;1;0
149;14/03/2018;Variazione al Bilancio Gestionale 2018/2020 ai sensi dell'art. 51 comma 2 del D.Lgs n.118/2011. Iscrizione in bilancio euro 40.000.000,00 finalizzati alla gestione dei rifiuti stoccati in balle.;http://trasparenza.regione.campania.it/PD20180004325_006663111.pdf;70;5;0
149;14/03/2018;Variazione al Bilancio Gestionale 2018/2020 ai sensi dell'art. 51 comma 2 del D.Lgs n.118/2011. Iscrizione in bilancio euro 40.000.000,00 finalizzati alla gestione dei rifiuti stoccati in balle.;http://trasparenza.regione.campania.it/PD20180004325_006663113.pdf;70;5;0
149;14/03/2018;Variazione al Bilancio Gestionale 2018/2020 ai sensi dell'art. 51 comma 2 del D.Lgs n.118/2011. Iscrizione in bilancio euro 40.000.000,00 finalizzati alla gestione dei rifiuti stoccati in balle.;http://trasparenza.regione.campania.it/TRASP_DG20180000149ver13.pdf;70;5;0
150;14/03/2018;POR FESR 2014/2020 - Iscrizione in bilancio delle risorse per gli esercizi finanziari 2018/2020. Interventi relativi al Grande Progetto Bandiera Blu del Litorale Domitio.;http://trasparenza.regione.campania.it/PD20180004687_006661402.pdf;60;6;0
150;14/03/2018;POR FESR 2014/2020 - Iscrizione in bilancio delle risorse per gli esercizi finanziari 2018/2020. Interventi relativi al Grande Progetto Bandiera Blu del Litorale Domitio.;http://trasparenza.regione.campania.it/PD20180004687_006661403.pdf;60;6;0
150;14/03/2018;POR FESR 2014/2020 - Iscrizione in bilancio delle risorse per gli esercizi finanziari 2018/2020. Interventi relativi al Grande Progetto Bandiera Blu del Litorale Domitio.;http://trasparenza.regione.campania.it/TRASP_DG20180000150ver10.pdf;60;6;0
151;14/03/2018;Intesa Istituzionale di Programma - Accordo di Programma Quadro Tutela delle Acque e Gestione Integrata delle Risorse Idriche - Atto integrativo sottoscritto il 21/12/2007 - Iscrizione in bilancio regionale di entrate vincolate.;http://trasparenza.regione.campania.it/PD20180004715_006655593.pdf;50;6;0
151;14/03/2018;Intesa Istituzionale di Programma - Accordo di Programma Quadro Tutela delle Acque e Gestione Integrata delle Risorse Idriche - Atto integrativo sottoscritto il 21/12/2007 - Iscrizione in bilancio regionale di entrate vincolate.;http://trasparenza.regione.campania.it/TRASP_DG20180000151ver03.pdf;50;6;0
152;20/03/2018;POR FESR Campania 2014/2020. Indirizzi per l'attuazione dell'Azione 3.3.2 ""Supporto allo sviluppo di prodotti e servizi complementari alla valorizzazione di identificati attrattori culturali e naturali del territorio anche attraverso l'integrazione tra imprese delle filiere culturali, turistiche, sportive, creative e dello spettacolo e delle filiere dei prodotti tradizionali e tipici"".;http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=113727&ATTACH_ID=169720;50;12;2
160;20/03/2018;Determinazioni per la reimputazione al POC Campania 2014/2020 delle risorse utilizzate nell'ambito delle misure di salvaguardia del POR FESR 2007/2013. Istituzione di nuovi capitoli di spesa ed iscrizione delle risorse in bilancio ai sensi dell'art. 51, comma 2 del D. Lgs. n. 118 del 23 giugno 2011 e s.m.i., per l'attuazione della Deliberazione di G. R.  n. 272 del 15 maggio 2017.;http://trasparenza.regione.campania.it/PD20180005361_006664387.pdf;50;3;0
160;20/03/2018;Determinazioni per la reimputazione al POC Campania 2014/2020 delle risorse utilizzate nell'ambito delle misure di salvaguardia del POR FESR 2007/2013. Istituzione di nuovi capitoli di spesa ed iscrizione delle risorse in bilancio ai sensi dell'art. 51, comma 2 del D. Lgs. n. 118 del 23 giugno 2011 e s.m.i., per l'attuazione della Deliberazione di G. R.  n. 272 del 15 maggio 2017.;http://trasparenza.regione.campania.it/PD20180005361_006664388.pdf;50;3;0
160;20/03/2018;Determinazioni per la reimputazione al POC Campania 2014/2020 delle risorse utilizzate nell'ambito delle misure di salvaguardia del POR FESR 2007/2013. Istituzione di nuovi capitoli di spesa ed iscrizione delle risorse in bilancio ai sensi dell'art. 51, comma 2 del D. Lgs. n. 118 del 23 giugno 2011 e s.m.i., per l'attuazione della Deliberazione di G. R.  n. 272 del 15 maggio 2017.;http://trasparenza.regione.campania.it/TRASP_DG20180000160ver03.pdf;50;3;0
161;20/03/2018;POR FESR 2014-2020. O.S.2.1. ISTITUZIONE NUOVO CAPITOLO DI SPESA DI TITOLARIT� DELL'UFFICIO DI STAFF 50.10.92 DELLA DIREZIONE GENERALE RICERCA, UNIVERSIT� ED INNOVAZIONE.;http://trasparenza.regione.campania.it/PD20180005106_006671202.pdf;50;10;92
161;20/03/2018;POR FESR 2014-2020. O.S.2.1. ISTITUZIONE NUOVO CAPITOLO DI SPESA DI TITOLARIT� DELL'UFFICIO DI STAFF 50.10.92 DELLA DIREZIONE GENERALE RICERCA, UNIVERSIT� ED INNOVAZIONE.;http://trasparenza.regione.campania.it/PD20180005106_006671203.pdf;50;10;92
161;20/03/2018;POR FESR 2014-2020. O.S.2.1. ISTITUZIONE NUOVO CAPITOLO DI SPESA DI TITOLARIT� DELL'UFFICIO DI STAFF 50.10.92 DELLA DIREZIONE GENERALE RICERCA, UNIVERSIT� ED INNOVAZIONE.;http://trasparenza.regione.campania.it/TRASP_DG20180000161ver14.pdf;50;10;92
162;20/03/2018;Prelevamento dal fondo di riserva per le spese impreviste di cui all'articolo 48, lettera b) del d.lgs. 118/2011.;http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=113450&ATTACH_ID=169330;50;1;2
163;20/03/2018;Variazione al Bilancio gestionale 2018-2020 ai sensi dell'art. 51 comma 2 del D.lgs. n. 118/2011.  Istituzione capitolI di spesa per l'intervento ""Recupero e valorizzazione del Rione Terra di Pozzuoli - Lotti XI"";http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=113449&ATTACH_ID=169327;50;9;0
164;20/03/2018;Istituzione nuovi capitoli di bilancio e iscrizione in bilancio ai sensi dell'art. 51, co. 2 lett. a) del  D.Lgs. 118/2011.;http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=113448&ATTACH_ID=169324;50;2;5
181;28/03/2018;D.G.R. n. 353 del 6 luglio 2016. Fondo rotativo a sostegno delle operazioni di Workers BuyOut.;http://trasparenza.regione.campania.it/PD20180004908_006676016.pdf;50;1;2
181;28/03/2018;D.G.R. n. 353 del 6 luglio 2016. Fondo rotativo a sostegno delle operazioni di Workers BuyOut.;http://trasparenza.regione.campania.it/PD20180004908_006676017.pdf;50;1;2
181;28/03/2018;D.G.R. n. 353 del 6 luglio 2016. Fondo rotativo a sostegno delle operazioni di Workers BuyOut.;http://trasparenza.regione.campania.it/TRASP_DG20180000181ver03.pdf;50;1;2
182;28/03/2018;POR Campania FESR 2014/2020 - ""Potenziamento della rete idrica del territorio del Comune di Albanella - Adeguamento prezzi I Lotto - II Fase"" - Acquisizione risorse.;http://trasparenza.regione.campania.it/PD20180004691_006675808.pdf;50;6;8
182;28/03/2018;POR Campania FESR 2014/2020 - ""Potenziamento della rete idrica del territorio del Comune di Albanella - Adeguamento prezzi I Lotto - II Fase"" - Acquisizione risorse.;http://trasparenza.regione.campania.it/TRASP_DG20180000182ver03.pdf;50;6;8
184;28/03/2018;Iscrizione in termini di competenza e di cassa, ai sensi dell'art.51 - comma 2 lettera a) del D.lgs n. 118/2011, della somma di euro 2.642.200,00. D.G. Governo del Territorio, Lavori Pubblici e protezione Civile.;http://trasparenza.regione.campania.it/PD20180005364_006681724.pdf;50;9;4
184;28/03/2018;Iscrizione in termini di competenza e di cassa, ai sensi dell'art.51 - comma 2 lettera a) del D.lgs n. 118/2011, della somma di euro 2.642.200,00. D.G. Governo del Territorio, Lavori Pubblici e protezione Civile.;http://trasparenza.regione.campania.it/TRASP_DG20180000184ver10.pdf;50;9;4
187;28/03/2018;PRESA D'ATTO DELLA DELIBERAZIONE N.2 DEL 21 DICEMBRE 2017 DEL COMMISSARIO AD ACTA e PROPOSTA AL CONSIGLIO REGIONALE DEL DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO.;http://trasparenza.regione.campania.it/PD20180002854_006679361.pdf;50;11;0
187;28/03/2018;PRESA D'ATTO DELLA DELIBERAZIONE N.2 DEL 21 DICEMBRE 2017 DEL COMMISSARIO AD ACTA e PROPOSTA AL CONSIGLIO REGIONALE DEL DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO.;http://trasparenza.regione.campania.it/PD20180002854_006679362.pdf;50;11;0
187;28/03/2018;PRESA D'ATTO DELLA DELIBERAZIONE N.2 DEL 21 DICEMBRE 2017 DEL COMMISSARIO AD ACTA e PROPOSTA AL CONSIGLIO REGIONALE DEL DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO.;http://trasparenza.regione.campania.it/PD20180002854_006679363.pdf;50;11;0
187;28/03/2018;PRESA D'ATTO DELLA DELIBERAZIONE N.2 DEL 21 DICEMBRE 2017 DEL COMMISSARIO AD ACTA e PROPOSTA AL CONSIGLIO REGIONALE DEL DISEGNO DI LEGGE PER IL RICONOSCIMENTO DELLA LEGITTIMITA' DI DEBITO FUORI BILANCIO.;http://trasparenza.regione.campania.it/PD20180002854_006679364.pdf;50;11;0
